Accession Number,Last Name ,First Name,Artist Gender,Title,Year,Location Name,Latitude,Longitude,Address,Location Description,Interior-Exterior ,Category,Object Type,Material,Material Details,Size,Additional Description,About The Work
CAC12.01,Beer,Vivian,Female,"""Thunderhead""",2012,Old Morse/Nunes Park,42.358061,-71.107837,"110 Allston Street, Cambridge, MA",,Exterior,Sculpture,Metal,Steel,,,,
CAC05.02a,Coogan,Jay,Male,"""Upright white dog""",2005,"Donnelly Field, Frisoli Youth Center",42.370227,-71.091969,"61 Willow St, Cambridge, MA 02141",5 or 6 pieces outside youth center (is one missing?),Exterior ,Sculpture,Metal-Painted Aluminum,Painted Aluminium,,"50""H x 42.5""W x 14""D",,
CAC02.01e,Harries/Heder ,Mags/Lajos,1 Female/1 Male ,"""Drawn Water""",2002,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138",,Exterior,Sculpture ,Bronze,Bronze,Bronze,"8"" diameter",,"Drawn Water combines real drinking water, symbolic elements, and a 2500 sq. foot map that focuses attention on the importance of water in our lives. The underground pipes that bring the water throughout the city are marked on the map, along with water fountains, swimming pools, and ponds. Actual water pipes form functional seats and suggest the sizes of pipes in the map. A transparent water column is placed on the map at the site of the city's holding reservoir, Payson Park. The art continues outside the building. A shallow depression on both sides of a path reveals a 42 inch pipe, reminding us of the connection between the treatment facility and Fresh Pond, the city's reservoir. A circular opening in the fence around the pond focuses views of the water intake. A drinking fountain in the form of a squirting arc offers water to users of the path. When they drink from the fountain, the water column reacts with light, bubbles and changes in the water level, as if the water had been drawn through the large pipe back from the treatment facility. There are also thirteen bronze utility covers located throughout the city, each with a different water-related image. The locations of the covers are marked on the floor map to encourage a treasure hunt in the neighborhoods.Mags Harries and Lajos H_der have collaborated on several projects since 1990, ranging from large-scale commissions to temporary installations and performances."
CAC02.01g,Harries/Heder ,Mags/Lajos,1 Female/1 Male ,"""Drawn Water""",2002,Cambridge Ringe & Latin High School,42.374446,-71.111795,"459 Broadway, Cambridge, MA 02138",,Exterior,Sculpture ,Bronze,Bronze,Bronze,"8"" diameter",,"Drawn Water combines real drinking water, symbolic elements, and a 2500 sq. foot map that focuses attention on the importance of water in our lives. The underground pipes that bring the water throughout the city are marked on the map, along with water fountains, swimming pools, and ponds. Actual water pipes form functional seats and suggest the sizes of pipes in the map. A transparent water column is placed on the map at the site of the city's holding reservoir, Payson Park. The art continues outside the building. A shallow depression on both sides of a path reveals a 42 inch pipe, reminding us of the connection between the treatment facility and Fresh Pond, the city's reservoir. A circular opening in the fence around the pond focuses views of the water intake. A drinking fountain in the form of a squirting arc offers water to users of the path. When they drink from the fountain, the water column reacts with light, bubbles and changes in the water level, as if the water had been drawn through the large pipe back from the treatment facility. There are also thirteen bronze utility covers located throughout the city, each with a different water-related image. The locations of the covers are marked on the floor map to encourage a treasure hunt in the neighborhoods.Mags Harries and Lajos H_der have collaborated on several projects since 1990, ranging from large-scale commissions to temporary installations and performances."
CAC02.01h,Harries/Heder ,Mags/Lajos,1 Female/1 Male ,"""Drawn Water""",2002,Andrew Peabody Elementary School,42.391846,-71.127922,"70 Rindge Ave, Cambridge, MA 02140",,Exterior,Sculpture ,Bronze,Bronze,Bronze,"8"" diameter",,"Drawn Water combines real drinking water, symbolic elements, and a 2500 sq. foot map that focuses attention on the importance of water in our lives. The underground pipes that bring the water throughout the city are marked on the map, along with water fountains, swimming pools, and ponds. Actual water pipes form functional seats and suggest the sizes of pipes in the map. A transparent water column is placed on the map at the site of the city's holding reservoir, Payson Park. The art continues outside the building. A shallow depression on both sides of a path reveals a 42 inch pipe, reminding us of the connection between the treatment facility and Fresh Pond, the city's reservoir. A circular opening in the fence around the pond focuses views of the water intake. A drinking fountain in the form of a squirting arc offers water to users of the path. When they drink from the fountain, the water column reacts with light, bubbles and changes in the water level, as if the water had been drawn through the large pipe back from the treatment facility. There are also thirteen bronze utility covers located throughout the city, each with a different water-related image. The locations of the covers are marked on the floor map to encourage a treasure hunt in the neighborhoods.Mags Harries and Lajos H_der have collaborated on several projects since 1990, ranging from large-scale commissions to temporary installations and performances."
CAC02.01l,Harries/Heder ,Mags/Lajos,1 Female/1 Male ,"""Drawn Water""",2002,Kennedy-Longfellow School,42.369459,-71.086668,"158 Spring St, Cambridge, MA 02141",,Exterior,Sculpture ,Bronze,Bronze,Bronze,"8"" diameter",,"Drawn Water combines real drinking water, symbolic elements, and a 2500 sq. foot map that focuses attention on the importance of water in our lives. The underground pipes that bring the water throughout the city are marked on the map, along with water fountains, swimming pools, and ponds. Actual water pipes form functional seats and suggest the sizes of pipes in the map. A transparent water column is placed on the map at the site of the city's holding reservoir, Payson Park. The art continues outside the building. A shallow depression on both sides of a path reveals a 42 inch pipe, reminding us of the connection between the treatment facility and Fresh Pond, the city's reservoir. A circular opening in the fence around the pond focuses views of the water intake. A drinking fountain in the form of a squirting arc offers water to users of the path. When they drink from the fountain, the water column reacts with light, bubbles and changes in the water level, as if the water had been drawn through the large pipe back from the treatment facility. There are also thirteen bronze utility covers located throughout the city, each with a different water-related image. The locations of the covers are marked on the floor map to encourage a treasure hunt in the neighborhoods.Mags Harries and Lajos H_der have collaborated on several projects since 1990, ranging from large-scale commissions to temporary installations and performances."
CAC02.01s,Harries/Heder ,Mags/Lajos,1 Female/1 Male ,"""Drawn Water""",2002,The Amigos School,42.363067,-71.108137,"15 Upton St, Cambridge, MA 02139",,Exterior,Sculpture ,Bronze,Bronze,Bronze,"8"" diameter",,"Drawn Water combines real drinking water, symbolic elements, and a 2500 sq. foot map that focuses attention on the importance of water in our lives. The underground pipes that bring the water throughout the city are marked on the map, along with water fountains, swimming pools, and ponds. Actual water pipes form functional seats and suggest the sizes of pipes in the map. A transparent water column is placed on the map at the site of the city's holding reservoir, Payson Park. The art continues outside the building. A shallow depression on both sides of a path reveals a 42 inch pipe, reminding us of the connection between the treatment facility and Fresh Pond, the city's reservoir. A circular opening in the fence around the pond focuses views of the water intake. A drinking fountain in the form of a squirting arc offers water to users of the path. When they drink from the fountain, the water column reacts with light, bubbles and changes in the water level, as if the water had been drawn through the large pipe back from the treatment facility. There are also thirteen bronze utility covers located throughout the city, each with a different water-related image. The locations of the covers are marked on the floor map to encourage a treasure hunt in the neighborhoods.Mags Harries and Lajos H_der have collaborated on several projects since 1990, ranging from large-scale commissions to temporary installations and performances."
CAC04.05,Andrews,Edwin,Male ,"""Dot Matrix""",2004,Green Street Garage,42.364139,-71.103853,"260 Green St, Cambridge, MA 02139",Corner of Pearl and Green street in Central Square ,Exterior ,Sculpture ,Mixed media  ,"Aluminum, Plexiglas","Aluminum, PLexiglas, cable",3 story stairwell,3 story stairwell walls,"Artist Edwin Andrews, Associate Professor of sculpture and design at Northeastern University, was selected for the project from the Arts Council's Public Art Slide Registry. Andrews has proposed to create aluminum security screens for the window openings, with colored glass and optical lenses inserted into the screen. The glass will cast colored shadows and the lenses will reflect images of passers-by on the interior walls. The proposal works on two levels: On a practical level, the grid structure makes the large window openings safe and protects the stairway from wind and rain, without enclosing it with solid glass. And on an aesthetic level, this practical solution provides visual interest and improves the look of the building where it is most visible."
CAC04.02,Uchida,Bart,Male ,"""Rose Arbor""",2004,Squirrel Brand Community Garden,42.367449,-71.096537,"268 Broadway, Cambridge, MA 02139",The corner of Boardman and Broadway Streets,Exterior ,Sculpture ,Metal  ,Steel,Steel rod (painted),"Arbor (overall size): H 10ê2"" x W 18ê x D 6ê",,"Cambridge Arts Council commissioned Bart Uchida to create a work of public art for the Park that was renovated in 2004. The Park had been the site of community gardens for twenty-five years, and a tall rambling rose vine that flourished during that period of time had taken on symbolic significance. Bart Uchida has created an artistic archway to support the rose vine, which previously had been rambling over a chain link fence."
CAC99.01,Arai,Tomie,Female,"""Morse School Mural""",1999,Morse Elementary School,42.355691,-71.112167,"40 Granite St, Cambridge, MA 02139",,Interior ,Mural ,Painting ,Acrylic on birch,Acrylic on birch ,8' x 16' ,,"When Arai was asked to create a mural as part of the school renovation, she chose to show the school's rich culture through historical and natural elements culled from the neighborhood. Near the horizon, she introduced the old Morse School and other buildings of historic Cambridgeport. The cultural diversity of the students is suggested through the biodiversity of the nearby Charles River and a band of traditional designs from different countries. A large central image of the Tree-of-Knowledge represents the school's innovative Core Knowledge curriculum."
CAC13.01.1,Baring-Gould,Laura,Female ,"""Water For All""",2013,Fresh Pond Reservation pathway,42.379848,-71.147054,"180-220 Fresh Pond Pkwy, Cambridge, MA 02138","From Water Department building, walk 10-15mins down path.",Exterior,Sculpture,Bronze Fountain,,,"bronze basin: 15.5""Dia x 3""D / overall: 37.75""H x 26.5""W x 33.5""D",,
CAC13.01.2,Baring-Gould,Laura,Female ,"""Water For All""",2013,Neville Manor Community Gardens,42.389504,-71.149473,"William G. Maher Field Cambridge, MA 02138","In front of the community gardens, next to William G. Maher Field.",Exterior,Sculpture,Bronze Fountain,,,"bronze basin: 15.5""Dia x 3""D / overall: 37.75""H x 26.5""W x 33.5""D",,
CAC13.03,Basa,Lynn,Female,"""A Long Story""",2013,Multi Service Center for the Homeless,42.365432,-71.105696,"5 Western Ave, Cambridge, MA 02139",Alley behind the Multi Service Center for the Homeless.,Interior,Sculpture,"Stained Glass, mixed media","Stained Glass, mixed media",,25 stained glass windows,,
CAC01.01,Beatty,Michael,Male ,"""Spectrum""",2001,Andrew Peabody Elementary School,42.391846,-71.127922,"70 Rindge Ave, Cambridge, MA 02140",,Interior ,Sculpture ,Mixed media,"Wood, steel ","Wood, steel",12' x 12' x 12',Mobile in stairway,"Playful and dynamic, Michael Beatty's giant mobile in the atrium above the school's main staircase explores connections between nature and math. Wood sculptures mix geometrical forms (the five Platonic solids) with shapes found in the natural world. Evoking everything from galaxies and tornadoes to atoms and crystals, this piece inspires reverence and awe for both the variety and surprising similarities of forms found on Earth and in the cosmos.Beatty is a graduate of the University of Kansas and the Massachusetts College of Art. His work has appeared in exhibitions throughout the Boston area and is in the collections of several museums and corporations, including the DeCordova Museum in Lincoln, Massachusetts. He participated in the DeCordova's popular 1995 ""Strokes of Genius"" installation, in which 18 artists each created a unique hole for a functioning mini golf course. He currently resides in Newton, Massachusetts, and teaches sculpture at the College of the Holy Cross in Worcester, Massachusetts."
CAC08.03a,Bell,Roberley,Female,"""Here and There""",2008,Costa Lopez Taylor Park and Community Garden,42.367763,-71.080169,"Anthony Costa Playground, Cambridge, MA 02141",the corner of Lopez and Charles St.,Exterior ,Sculpture ,Metal-Painted Steel,Paint on steel,"Steel, painted (Tnemec) ",9' x 16' x 6',"Steel rod ""trellis"" gourds (2) + gate","Roberley Bell created a sculpture, consisting of an open trellis in the shape of two gourds with attached gates. This new artwork flourishes in the new Costa Lopez Taylor Park, She used steel rods to create an open trellis allowing flora to intertwine with the art and further connect the park with the artwork. Bellês work, which consists of several site-specific works, plays on and with nature, highlighting the relationship between the man-made and the natural landscape."
CAC01.07,Boyajian,Gail,Female ,"""Otter Fence""",2001,Larch Road Park,42.379189,-71.142942,"119 Larch Rd, Cambridge, MA 02138",119 Larch Road off of Huron Ave or Fresh Pond Parkway,Exterior ,Sculpture ,Metal-Painted Steel,Painted steel,Steel (painted),8' x 54',Fence with 32 otters,
CAC85.29,Cauthen,Gene,Male ,"""Park Bench Group""",1985,Columbia Street at Pine Street Tot Lot,42.364396,-71.098101,"Anthony Paolillo Tot Lot Cambridge, MA 02139",Columbia Street at Pine Street,Exterior ,Sculpture ,Bronze ,Bronze ,Bronze,"9"" x 26"" x 6"" (pole: 4')",Small bronze on pole,"Park Bench Group depicts family members on a park bench watching a game, a familiar sight in this family-oriented neighborhood."
